nohup: ignoring input
/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:166: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler  = GradScaler(enabled=use_amp)

=======================================================
  IIDM Training
=======================================================
  Device     : cuda
  Epochs     : 200
  Batch size : 4
  LR         : 0.0001

  Loading datasets ...
  [train] 7475 patches
  [val] 1601 patches
  Train batches : 1868
  Val   batches : 401

  Initializing IIDM model ...
  Trainable params : 77.42M

  Starting training from epoch 1 ...

/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:202: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp):
  Ep 005 | step 1100/1868 | loss=1.1741 | diff=0.6725 | kd=0.8872 | recon=0.4128 | t=86s
  Ep 005 | step 1150/1868 | loss=1.2622 | diff=0.6757 | kd=0.5994 | recon=0.5265 | t=90s
  Ep 005 | step 1200/1868 | loss=1.2405 | diff=0.6751 | kd=0.7705 | recon=0.4883 | t=94s
  Ep 005 | step 1250/1868 | loss=1.3321 | diff=0.7373 | kd=0.5844 | recon=0.5363 | t=98s
  Ep 005 | step 1300/1868 | loss=1.2087 | diff=0.6768 | kd=0.6775 | recon=0.4642 | t=102s
  Ep 005 | step 1350/1868 | loss=1.1012 | diff=0.6723 | kd=0.4119 | recon=0.3877 | t=106s
  Ep 005 | step 1400/1868 | loss=1.2917 | diff=0.7545 | kd=0.8366 | recon=0.4536 | t=110s
  Ep 005 | step 1450/1868 | loss=1.1683 | diff=0.6752 | kd=0.9061 | recon=0.4025 | t=113s
  Ep 005 | step 1500/1868 | loss=1.1534 | diff=0.6777 | kd=0.6572 | recon=0.4100 | t=117s
  Ep 005 | step 1550/1868 | loss=1.3696 | diff=0.7583 | kd=1.1443 | recon=0.4969 | t=121s
  Ep 005 | step 1600/1868 | loss=1.1199 | diff=0.6739 | kd=0.5934 | recon=0.3867 | t=125s
  Ep 005 | step 1650/1868 | loss=1.0964 | diff=0.6814 | kd=0.7384 | recon=0.3411 | t=129s
  Ep 005 | step 1700/1868 | loss=1.0717 | diff=0.6711 | kd=0.4222 | recon=0.3585 | t=133s
  Ep 005 | step 1750/1868 | loss=1.0777 | diff=0.6705 | kd=0.4764 | recon=0.3596 | t=137s
  Ep 005 | step 1800/1868 | loss=1.1680 | diff=0.6846 | kd=0.6482 | recon=0.4186 | t=141s
